OBJ,zipcode,date,time,race,sex,age,wound,is_officer_involved,is_offender_deceased,is_offender_injured,is_fatal
OBJ_11865701,19136,3/18/21,2-Jan,B,M,20,Multiple,N,N,N,1
OBJ_11865702,19154,3/29/21,17-18,B,M,21,Chest,N,N,N,1
OBJ_11865703,19136,5/15/21,9-Aug,B,F,33,Buttocks,N,N,N,0
OBJ_11865704,19152,6/2/21,2-Jan,B,M,22,Back,N,N,N,0
OBJ_11865705,19130,5/31/21,13-Dec,B,M,22,Multiple/Head,N,N,N,1
OBJ_11865707,19130,11/1/21,3-Feb,B,M,22,Multiple,N,N,N,0
OBJ_11865708,19130,11/1/21,3-Feb,B,M,22,Back,N,N,N,1
OBJ_11865709,19130,11/1/21,3-Feb,B,M,28,Multiple,N,N,N,0
OBJ_11865710,19136,10/30/21,12-Nov,B,M,29,Leg,N,N,N,0
OBJ_11865711,19136,12/9/21,6-May,W,M,31,Buttocks,N,N,N,0
OBJ_11865712,19142,2/18/21,5-Apr,B,M,16,Chest,N,N,N,1
OBJ_11865713,19103,1/1/21,2-Jan,B,F,22,Arm,N,N,N,0
OBJ_11865714,19107,1/24/21,19-20,W,M,18,Multiple,N,N,N,0
OBJ_11865715,19130,3/10/21,22-23,B,M,34,Leg,N,N,N,0
OBJ_11865717,19102,3/21/21,23-24,B,M,42,Multiple,N,N,N,0
OBJ_11865718,19143,3/9/21,18-19,B,M,15,Multiple,N,N,N,1
OBJ_11865719,19130,5/31/21,13-Dec,B,M,27,Multiple/Head,N,N,N,1
OBJ_11865720,19143,1/25/21,17-18,B,M,22,Multiple,N,N,N,0
OBJ_11865722,19153,1/26/21,16-17,B,M,31,Multiple,N,N,N,0
OBJ_11865723,19130,11/27/21,7-Jun,B,M,25,Hand,N,N,N,0
OBJ_11865724,19142,1/1/21,6-May,B,M,27,Head,N,N,N,1
OBJ_11865725,19142,1/7/21,22-23,B,M,30,Multiple,N,N,N,0
OBJ_11865726,19143,1/8/21,18-19,B,M,18,Shoulder,N,N,N,0
OBJ_11865727,19143,3/22/21,18-19,B,M,27,Back,N,N,N,0
OBJ_11865863,19143,10/30/21,23-24,B,M,28,Multiple,N,N,N,0
OBJ_11865864,19150,1/17/21,21-22,B,M,30,Leg,N,N,N,0
OBJ_11865865,19143,11/1/21,14-15,B,M,32,Leg,N,N,N,0
OBJ_11865866,19142,11/6/21,2-Jan,B,M,32,Back,N,N,N,1
OBJ_11865867,19143,11/7/21,23-24,B,M,29,Multiple,N,N,N,1
OBJ_11865868,19142,11/21/21,22-23,B,M,28,Multiple,N,N,N,0
OBJ_11865869,19142,11/23/21,22-23,B,M,29,Head,N,N,N,1
OBJ_11865870,19143,11/28/21,15-16,B,M,22,Multiple,N,N,N,0
OBJ_11865871,19142,9/9/21,23-24,B,M,27,Foot,N,N,N,0
OBJ_11865872,19142,9/9/21,19-20,B,M,30,LEG,N,N,N,0
OBJ_11865873,19153,10/23/21,5-Apr,B,M,22,Multiple/Head,N,N,N,0
OBJ_11865874,19143,9/25/21,13-Dec,B,M,30,Groin,N,N,N,0
OBJ_11865875,19143,11/28/21,15-16,B,M,21,Multiple,N,N,N,0
OBJ_11865876,19143,11/28/21,15-16,B,M,28,Multiple,N,N,N,0
OBJ_11865877,19143,11/28/21,15-16,B,M,40,Arm,N,N,N,0
OBJ_11865878,19143,10/2/21,20-21,B,M,16,Leg,N,N,N,0
OBJ_11865880,19143,12/22/21,6-May,B,M,27,Arm,N,N,N,0
OBJ_11865881,19142,12/30/21,21-22,B,M,18,Groin,N,N,N,0
OBJ_11865882,19138,1/7/21,0-1,B,M,39,Arm,N,N,N,0
OBJ_11865883,19138,1/7/21,2-Jan,B,M,23,Multiple,N,N,N,1
OBJ_11865884,19138,1/16/21,13-14,B,M,17,Hip,N,N,N,0
OBJ_11865885,19138,1/16/21,13-14,B,M,18,Shoulder,N,N,N,0
OBJ_11865886,19138,1/22/21,23-24,B,M,27,Leg,N,N,N,0
OBJ_11865887,19153,11/2/21,17-18,B,M,22,Leg,N,N,N,0
OBJ_11865888,19144,4/24/21,17-18,B,M,26,Back,N,N,N,1
OBJ_11865889,19143,12/13/21,17-18,B,M,27,Head,N,N,N,0
OBJ_11865728,19142,1/10/21,16-17,B,M,14,Leg,N,N,N,0
OBJ_11865729,19142,1/11/21,20-21,B,M,18,Arm,N,N,N,0
OBJ_11865730,19143,3/31/21,20-21,B,M,32,Leg,N,N,N,0
OBJ_11865731,19143,1/15/21,19-20,B,F,50,Abdomen,N,N,N,0
OBJ_11865732,19143,1/15/21,19-20,B,M,27,Hand,N,N,N,0
OBJ_11865733,19143,1/15/21,19-20,B,M,26,Multiple,N,N,N,0
OBJ_11865734,19142,1/24/21,14-15,B,M,20,Back,N,N,N,0
OBJ_11865735,19142,1/24/21,14-15,B,M,19,Leg,N,N,N,0
OBJ_11865736,19142,1/24/21,14-15,B,M,20,Multiple,N,N,N,0
OBJ_11865737,19143,3/12/21,20-21,B,M,17,Chest,N,N,N,1
OBJ_11865738,19143,3/16/21,19-20,B,F,27,Leg,N,N,N,0
OBJ_11865739,19143,1/29/21,19-20,B,M,18,Chest,N,N,N,0
OBJ_11865740,19143,2/4/21,13-14,B,M,25,Multiple,N,N,N,0
OBJ_11865741,19142,3/20/21,22-23,B,M,26,Leg,N,N,N,0
OBJ_11865742,19143,2/8/21,22-23,B,F,41,Multiple,N,N,N,0
OBJ_11865743,19143,3/21/21,13-14,B,M,63,Head,N,N,N,0
OBJ_11865744,19142,2/24/21,5-Apr,B,M,28,Leg,N,N,N,0
OBJ_11865745,19142,2/26/21,10-Sep,B,F,31,Arm,N,N,N,0
OBJ_11865746,19142,3/3/21,20-21,B,M,27,Multiple,N,N,N,1
OBJ_11865747,19142,3/3/21,19-20,W,F,58,Arm,N,N,N,0
OBJ_11865748,19142,5/8/21,15-16,B,M,31,Multiple,N,N,N,0
OBJ_11865749,19142,5/8/21,15-16,B,F,25,Leg,N,N,N,0
OBJ_11865750,19143,3/8/21,22-23,B,M,20,Leg,N,N,N,0
OBJ_11865751,19142,3/9/21,22-23,B,M,28,Buttocks,N,N,N,0
OBJ_11865752,19142,3/10/21,18-19,B,F,29,Ankle,N,N,N,0
OBJ_11865753,19143,4/18/21,12-Nov,B,M,0,Leg,N,N,N,0
OBJ_11865754,19142,4/20/21,13-14,B,M,19,Head,N,N,N,1
OBJ_11865755,19142,3/18/21,17-18,B,M,28,Head,N,N,N,1
OBJ_11865756,19143,3/21/21,19-20,B,M,15,Hand,N,N,N,0
OBJ_11865757,19143,5/13/21,19-20,B,M,16,Chest,N,N,N,1
OBJ_11865758,19143,5/13/21,19-20,B,M,13,Arm,N,N,N,0
OBJ_11865759,19153,3/21/21,21-22,B,M,26,Foot,N,N,N,0
OBJ_11865760,19142,3/28/21,21-22,B,M,19,Arm,N,N,N,0
OBJ_11865761,19142,5/20/21,23-24,B,M,18,Multiple,N,N,N,0
OBJ_11865762,19143,4/3/21,19-20,B,M,26,Arm,N,N,N,0
OBJ_11865763,19143,4/6/21,13-14,B,M,71,Leg,N,N,N,0
OBJ_11865764,19153,4/10/21,13-14,B,M,26,Leg,N,N,N,0
OBJ_11865765,19142,4/13/21,18-19,B,M,35,Head,N,N,N,1
OBJ_11865766,19143,4/14/21,19-20,B,M,28,Chest,N,N,N,1
OBJ_11865767,19143,4/14/21,15-16,B,M,6,Multiple,N,N,N,0
OBJ_11865768,19143,4/14/21,19-20,B,M,30,Chest,N,N,N,0
OBJ_11865769,19143,6/16/21,17-18,B,M,26,Arm,N,N,N,0
OBJ_11865770,19143,4/27/21,13-Dec,B,M,20,Abdomen,N,N,N,1
OBJ_11865771,19143,4/27/21,21-22,B,M,26,Foot,N,N,N,0
OBJ_11865772,19143,4/27/21,21-22,B,M,35,Multiple,N,N,N,0
OBJ_11865775,19143,6/29/21,22-23,B,M,21,Multiple/Head,N,N,N,0
OBJ_11865776,19143,7/1/21,18-19,B,M,24,Back,N,N,N,0
OBJ_11865777,19143,4/29/21,14-15,B,M,21,Multiple,N,N,N,0
OBJ_11865778,19142,4/29/21,20-21,B,M,24,Leg,N,N,N,0
OBJ_11865779,19143,5/8/21,21-22,B,M,23,Chest,N,N,N,0
OBJ_11865780,19143,5/9/21,0-1,B,M,36,Multiple,N,N,N,0
OBJ_11865781,19143,7/6/21,2-Jan,B,M,26,Chest,N,N,N,1
OBJ_11865782,19143,5/9/21,0-1,B,F,44,Shoulder,N,N,N,0
OBJ_11865783,19142,5/9/21,13-Dec,B,M,47,Shoulder,N,N,N,0
OBJ_11865784,19143,5/12/21,16-17,B,M,29,Multiple,N,N,N,0
OBJ_11865785,19143,5/12/21,16-17,B,M,24,Multiple,N,N,N,0
OBJ_11865786,19143,5/12/21,16-17,B,M,18,Multiple,N,N,N,0
OBJ_11865787,19153,5/15/21,21-22,B,M,21,Chest,N,N,N,0
OBJ_11865788,19143,5/19/21,18-19,B,M,15,Arm,N,N,N,0
OBJ_11865789,19142,5/26/21,17-18,B,M,23,Multiple,N,N,N,1
OBJ_11865790,19143,6/1/21,0-1,B,M,35,Abdomen,N,N,N,1
OBJ_11865791,19142,6/1/21,0-1,B,M,27,Multiple,N,N,N,1
OBJ_11865792,19143,6/3/21,21-22,B,M,28,Back,N,N,N,0
OBJ_11865793,19142,6/7/21,19-20,B,M,36,Multiple,N,N,N,0
OBJ_11865794,19153,6/12/21,17-18,B,M,26,Unknown,N,N,N,0
OBJ_11865795,19143,5/12/21,16-17,B,M,20,Multiple,N,N,N,1
OBJ_11865796,19143,7/16/21,20-21,B,M,31,Multiple,N,N,N,1
OBJ_11865797,19143,7/16/21,20-21,B,M,29,Chest,N,N,N,0
OBJ_11865798,19143,7/16/21,20-21,B,F,14,Stomach,N,N,N,0
OBJ_11865799,19143,6/17/21,20-21,B,F,18,Multiple,N,N,N,0
OBJ_11865800,19153,6/20/21,23-24,B,M,29,Abdomen,N,N,N,0
OBJ_11865801,19143,6/22/21,18-19,B,M,17,Head,N,N,N,1
OBJ_11865802,19142,8/9/21,22-23,B,M,17,Multiple,N,N,N,0
OBJ_11865803,19143,6/27/21,21-22,B,F,26,Neck,N,N,N,0
OBJ_11865804,19143,7/1/22,22-23,B,M,17,Multiple,N,N,N,1
OBJ_11865805,19143,7/16/21,20-21,B,M,33,Shoulder,N,N,N,0
OBJ_11865806,19143,7/16/21,20-21,B,M,38,Leg,N,N,N,0
OBJ_11865807,19142,7/1/21,23-24,B,M,22,Multiple,N,N,N,0
OBJ_11865808,19143,7/16/21,20-21,B,M,29,Buttocks,N,N,N,0
OBJ_11865809,19143,7/18/21,6-May,B,M,26,Multiple,N,N,N,0
OBJ_11865810,19143,7/18/21,14-15,B,M,18,Leg,N,N,N,0
OBJ_11865811,19143,7/18/21,14-15,B,M,15,Multiple,N,N,N,0
OBJ_11865812,19143,7/18/21,14-15,B,M,29,Leg,N,N,N,0
OBJ_11865813,19143,7/4/21,20-21,B,M,20,Multiple,N,N,N,0
OBJ_11865814,19143,7/4/21,20-21,B,M,20,Multiple,N,N,N,0
OBJ_11865815,19142,7/12/21,17-18,B,M,21,Abdomen,N,N,N,0
OBJ_11865816,19142,7/12/21,17-18,B,M,20,Leg,N,N,N,0
OBJ_11865817,19143,7/16/21,13-Dec,B,M,45,Back,N,N,N,0
OBJ_11865818,19143,9/30/21,20-21,B,M,40,Multiple/Head,N,N,N,1
OBJ_11865819,19143,9/30/21,20-21,B,M,46,Leg,N,N,N,0
OBJ_11865820,19143,9/30/21,20-21,B,M,11,Multiple,N,N,N,0
OBJ_11865821,19143,6/15/21,2-Jan,B,M,30,Multiple,N,N,N,0
OBJ_11865822,19143,6/17/21,20-21,B,M,19,Multiple,N,N,N,0
OBJ_11865823,19143,7/26/21,13-14,B,M,22,Leg,N,N,N,0
OBJ_11865824,19143,7/31/21,16-17,B,M,67,Multiple/Head,N,N,N,0
OBJ_11865825,19143,7/31/21,16-17,B,M,17,Chest,N,N,N,0
OBJ_11865826,19143,8/6/21,21-22,B,M,35,Leg,N,N,N,0
OBJ_11865827,19143,7/22/21,2-Jan,B,M,23,Head,N,N,N,1
OBJ_11865828,19142,7/25/21,16-17,B,M,19,Neck,N,N,N,0
OBJ_11865829,19142,8/2/21,17-18,B,M,36,Foot,N,N,N,0
OBJ_11865830,19142,8/14/21,2-Jan,A,M,46,Multiple,N,N,N,1
OBJ_11865831,19143,10/28/21,2-Jan,B,F,33,Back,N,N,N,0
OBJ_11865832,19143,10/28/21,2-Jan,B,F,1,Stomach,N,N,N,0
OBJ_11865836,19142,8/24/21,22-23,B,F,33,Multiple,N,N,N,0
OBJ_11865837,19143,8/29/21,19-20,B,F,28,Arm,N,N,N,0
OBJ_11865838,19143,8/29/21,19-20,B,M,27,Multiple,N,N,N,0
OBJ_11865839,19142,11/17/21,15-16,B,M,40,Arm,N,N,N,0
OBJ_11865840,19143,8/30/21,12-Nov,B,M,27,Multiple,N,N,N,0
OBJ_11865841,19143,9/7/21,12-Nov,B,M,41,Multiple,N,N,N,0
OBJ_11865843,19142,9/25/21,19-20,B,M,50,Leg,N,N,N,0
OBJ_11865844,19143,9/27/21,17-18,B,F,29,Shoulder,N,N,N,0
OBJ_11865845,19143,9/27/21,17-18,B,M,46,Multiple,N,N,N,0
OBJ_11865846,19153,10/1/21,15-16,B,M,43,Multiple/Head,N,N,N,1
OBJ_11865847,19143,11/30/21,11-Oct,B,M,25,Arm,N,N,N,0
OBJ_11865848,19143,11/30/21,11-Oct,B,M,24,Multiple,N,N,N,0
OBJ_11865849,19153,10/1/21,15-16,B,M,38,Multiple,N,N,N,0
OBJ_11865850,19143,10/6/21,15-16,B,M,26,Head,N,N,N,1
OBJ_11865851,19143,12/18/21,13-14,B,M,21,Chest,N,N,N,1
OBJ_11865852,19142,12/18/21,22-23,B,M,23,Hand,N,N,N,0
OBJ_11865853,19142,12/19/21,23-24,B,M,42,Leg,N,N,N,0
OBJ_11865854,19143,12/20/21,20-21,B,M,37,Multiple,N,N,N,0
OBJ_11865855,19143,10/7/21,15-16,B,M,33,Multiple,N,N,N,0
OBJ_11865856,19142,10/7/21,20-21,B,M,39,Leg,N,N,N,0
OBJ_11865857,19142,12/27/21,0-1,A,M,25,Shoulder,N,N,N,0
OBJ_11865858,19142,12/29/21,21-22,B,M,25,Stomach,N,N,N,0
OBJ_11865860,19143,10/16/21,15-16,B,M,30,Leg,N,N,N,0
OBJ_11865861,19138,1/12/21,18-19,B,F,25,Shoulder,N,N,N,0
OBJ_11865862,19143,10/30/21,23-24,B,M,25,Multiple,N,N,N,0
OBJ_11865485,19132,9/14/20,14-15,B,M,34,Multiple,N,N,N,0
OBJ_11865486,19132,9/24/20,16-17,B,F,31,Leg,N,N,N,0
OBJ_11865487,19132,9/27/20,21-22,B,M,33,Abdomen,N,N,N,1
OBJ_11865489,19132,10/11/20,2-Jan,B,F,30,Multiple,N,N,N,0
OBJ_11865490,19132,10/11/20,17-18,B,M,38,Leg,N,N,N,0
OBJ_11865491,19140,10/7/20,0-1,B,M,18,Buttocks,N,N,N,0
OBJ_11865492,19144,12/4/20,16-17,B,M,18,Arm,N,N,N,0
OBJ_11865493,19129,10/13/20,22-23,B,M,17,Leg,N,N,N,0
OBJ_11865494,19140,10/17/20,6-May,B,M,43,Multiple,N,N,N,0
OBJ_11865495,19132,10/15/20,20-21,B,M,37,Head,N,N,N,1
OBJ_11865496,19132,12/11/20,5-Apr,B,M,32,Multiple,N,N,N,1
OBJ_11865497,19144,10/26/20,2-Jan,B,M,27,Arm,N,N,N,0
OBJ_11865498,19140,11/2/20,19-20,B,M,21,Head,N,N,N,1
OBJ_11865499,19144,12/27/20,21-22,B,F,25,Multiple/Head,N,N,N,0
OBJ_11865500,19129,11/7/20,21-22,B,M,57,Arm,N,N,N,0
OBJ_11865501,19144,11/17/20,21-22,B,M,18,Hand,N,N,N,0
OBJ_11865502,19144,11/17/20,21-22,B,M,28,Multiple,N,N,N,0
OBJ_11865503,19140,10/20/20,18-19,B,M,24,Ankle,N,N,N,0
OBJ_11865504,19140,10/20/20,22-23,B,M,24,Multiple,N,N,N,0
OBJ_11865505,19132,10/20/20,23-24,B,M,18,Multiple/Head,N,N,N,1
OBJ_11865506,19140,10/28/20,15-16,B,M,36,Multiple,N,N,N,1
OBJ_11865507,19140,10/28/20,20-21,B,M,20,Multiple,N,N,N,0
OBJ_11865508,19132,10/31/20,2-Jan,B,M,43,Hand,N,N,N,0
OBJ_11865509,19145,9/13/21,23-24,B,M,35,Head,N,N,N,0
OBJ_11865510,19144,12/1/20,12-Nov,B,M,22,Shoulder,N,N,N,0
OBJ_11865511,19132,11/14/20,13-14,B,M,36,Multiple,N,N,N,1
OBJ_11865512,19144,12/1/20,12-Nov,B,F,18,Ankle,N,N,N,0
OBJ_11865513,19144,12/1/20,16-17,B,F,21,Leg,N,N,N,0
OBJ_11865514,19140,12/3/20,2-Jan,B,F,32,Leg,N,N,N,0
OBJ_11865515,19132,12/5/20,23-24,B,M,56,Leg,N,N,N,0
OBJ_11865516,19145,10/6/21,19-20,W,M,60,Multiple,N,N,N,0
OBJ_11865517,19140,12/7/20,20-21,B,M,36,Multiple,N,N,N,1
OBJ_11865519,19145,11/14/21,20-21,B,M,22,Multiple,N,N,N,1
OBJ_11865520,19145,11/16/21,17-18,B,M,26,Multiple,N,N,N,1
OBJ_11865521,19145,12/3/21,16-17,B,M,29,Multiple,N,N,N,1
OBJ_11865522,19145,12/8/21,13-Dec,B,M,45,Leg,N,N,N,0
OBJ_11865523,19132,11/25/20,2-Jan,B,M,29,Head,N,N,N,1
OBJ_11865525,19145,12/27/21,6-May,W,F,52,Head,N,N,N,1
OBJ_11865526,19140,11/26/20,20-21,B,M,40,Multiple,N,N,N,0
OBJ_11865527,19132,12/21/20,15-16,B,M,25,Multiple,N,N,N,0
OBJ_11865528,19132,11/29/20,15-16,B,M,21,Head,N,N,N,1
OBJ_11865529,19140,12/30/20,13-Dec,B,M,33,Multiple,N,N,N,0
OBJ_11865530,19145,1/23/21,13-Dec,B,M,23,Abdomen,N,N,N,0
OBJ_11865531,19145,2/5/21,23-24,B,M,36,Multiple,N,N,N,0
OBJ_11865532,19149,2/5/21,0-1,B,F,19,Hip,N,N,N,0
OBJ_11865533,19132,12/10/20,12-Nov,B,M,19,Multiple,N,N,N,0
OBJ_11865534,19132,12/18/20,16-17,B,M,26,Arm,N,N,N,0
OBJ_11865535,19145,2/12/21,23-24,W,M,23,Head,N,N,N,1
OBJ_11865536,19145,2/21/21,0-1,B,M,30,Leg,N,N,N,0
OBJ_11865537,19145,3/4/21,11-Oct,B,M,28,Leg,N,N,N,0
OBJ_11865538,19145,3/14/21,22-23,W,M,27,Leg,N,N,N,0
OBJ_11865539,19145,4/29/21,20-21,B,M,35,Leg,N,N,N,0
OBJ_11865540,19145,6/13/21,0-1,W,M,23,Leg,N,N,N,0
OBJ_11865541,19145,9/21/21,12-Nov,B,M,35,Leg,N,N,N,0
OBJ_11865542,19145,9/21/21,23-24,B,M,27,Multiple/Head,N,N,N,1
OBJ_11865543,19145,9/21/21,23-24,B,F,52,Leg,N,N,N,0
OBJ_11865544,19145,9/24/21,20-21,B,M,14,Head,N,N,N,0
OBJ_11865545,19145,9/25/21,21-22,B,M,28,Multiple,N,N,N,1
OBJ_11865546,19145,9/25/21,21-22,B,M,35,Multiple,N,N,N,0
OBJ_11865547,19145,11/3/21,3-Feb,A,M,52,Multiple,N,N,N,0
OBJ_11865548,19145,11/3/21,3-Feb,A,F,47,Multiple,N,N,N,0
OBJ_11865551,19145,12/30/21,17-18,B,M,32,Multiple,N,N,N,1
OBJ_11865552,19145,12/30/21,17-18,B,M,32,Multiple,N,N,N,0
OBJ_11865553,19124,1/13/21,16-17,B,M,20,Multiple,N,N,N,0
OBJ_11865554,19111,1/30/21,13-Dec,B,M,40,Back,N,N,N,0
OBJ_11865555,19149,1/30/21,14-15,B,M,27,Multiple,N,N,N,0
OBJ_11865556,19111,5/29/21,21-22,B,M,33,Leg,N,N,N,0
OBJ_11865557,19149,2/5/21,0-1,B,M,29,Multiple,N,N,N,0
OBJ_11865558,19120,2/7/21,19-20,W,F,24,Leg,N,N,N,1
OBJ_11865559,19120,2/7/21,20-21,B,M,24,Multiple/Head,N,N,N,1
OBJ_11865560,19120,3/3/21,13-14,B,M,17,Head,N,N,N,0
OBJ_11865561,19149,10/26/21,19-20,B,M,28,Chest,N,N,N,1
OBJ_11865562,19152,10/31/21,3-Feb,W,F,17,Abdomen,N,N,N,0
OBJ_11865563,19152,10/31/21,3-Feb,B,M,24,Abdomen,N,N,N,0
OBJ_11865564,19111,3/12/21,15-16,B,M,19,Multiple,N,N,N,0
OBJ_11865565,19149,11/13/21,2-Jan,W,M,24,Back,N,N,N,0
OBJ_11865566,19149,11/18/21,19-20,B,M,26,Multiple,N,N,N,1
OBJ_11865567,19149,11/18/21,15-16,B,M,31,Foot,N,N,N,0
OBJ_11865568,19149,11/18/21,19-20,W,M,22,Leg,N,N,N,0
OBJ_11865569,19111,3/12/21,19-20,B,F,35,Hip,N,N,N,0
OBJ_11865570,19111,3/20/21,14-15,B,M,18,Unknown,N,N,N,0
OBJ_11865571,19111,11/20/21,21-22,B,F,32,Multiple/Head,N,N,N,1
OBJ_11865572,19124,11/21/21,22-23,W,M,26,Multiple,N,N,N,0
OBJ_11865573,19124,11/30/21,19-20,B,F,20,Leg,N,N,N,0
OBJ_11865574,19149,3/26/21,18-19,B,M,11,Neck,N,N,N,1
OBJ_11865575,19149,3/26/21,18-19,W,M,14,Multiple,N,N,N,0
OBJ_11865576,19124,5/2/21,17-18,B,M,19,Hand,N,N,N,0
OBJ_11865577,19120,12/21/21,23-24,B,M,32,Abdomen,N,N,N,1
OBJ_11865578,19111,1/20/21,18-19,W,F,52,Multiple/Head,N,N,N,1
OBJ_11865579,19149,7/30/21,21-22,B,M,43,Leg,N,N,N,0
OBJ_11865580,19148,1/4/21,22-23,B,F,20,Foot,N,N,N,0
OBJ_11865581,19149,8/2/21,0-1,W,M,24,Hand,N,N,N,0
OBJ_11865582,19149,5/22/21,23-24,B,M,27,Arm,N,N,N,0
OBJ_11865583,19120,5/27/21,23-24,B,M,29,Multiple,N,N,N,0
OBJ_11865584,19149,8/21/21,21-22,W,F,18,Back,N,N,N,0
OBJ_11865585,19111,6/5/21,2-Jan,B,F,36,Stomach,N,N,N,0
OBJ_11865586,19147,3/14/21,0-1,B,M,30,Ankle,N,N,N,0
OBJ_11865587,19147,3/16/21,0-1,B,M,20,Neck,N,N,N,0
OBJ_11865588,19120,6/18/21,23-24,B,M,33,Leg,N,N,N,0
OBJ_11865589,19149,8/22/21,22-23,B,M,28,Abdomen,N,N,N,0
OBJ_11865590,19111,6/20/21,0-1,B,M,29,Multiple,N,N,N,0
OBJ_11865591,19149,6/27/21,3-Feb,W,M,54,Multiple,N,N,N,0
OBJ_11865592,19149,10/6/21,14-15,B,M,16,Chest,N,N,N,0
OBJ_11865593,19149,10/10/21,2-Jan,W,M,24,Multiple,N,N,N,0
OBJ_11865594,19147,5/23/21,18-19,B,M,18,Multiple,N,N,N,0
OBJ_11865595,19111,11/4/21,4-Mar,W,M,35,Chest,N,N,N,0
OBJ_11865596,19124,6/30/21,20-21,B,M,48,Leg,N,N,N,0
OBJ_11865597,19111,7/11/21,2-Jan,B,M,29,Multiple,N,N,N,0
OBJ_11865598,19148,6/22/21,22-23,A,M,35,Leg,N,N,N,0
OBJ_11865599,19111,7/11/21,2-Jan,B,F,25,Leg,N,N,N,0
OBJ_11865600,19111,7/23/21,19-20,B,M,14,Pelvis,N,N,N,0
OBJ_11865601,19111,7/23/21,19-20,B,M,13,Arm,N,N,N,0
OBJ_11865602,19147,1/9/21,6-May,W,M,22,Foot,N,N,N,0
OBJ_11865603,19148,6/29/21,23-24,B,M,28,Multiple,N,N,N,0
OBJ_11865604,19148,1/13/21,2-Jan,B,M,48,Multiple,N,N,N,1
OBJ_11865605,19147,7/17/21,4-Mar,B,M,26,Multiple/Head,N,N,N,0
OBJ_11865606,19147,7/22/21,0-1,W,M,23,Back,N,N,N,1
OBJ_11865607,19148,1/13/21,2-Jan,B,F,43,Foot,N,N,N,0
OBJ_11865608,19148,1/18/21,21-22,B,M,25,Multiple,N,N,N,1
OBJ_11865609,19133,9/4/21,16-17,B,M,25,Multiple,N,N,N,1
OBJ_11865610,19148,4/9/21,19-20,B,M,36,Multiple,N,N,N,0
OBJ_11865611,19147,4/13/21,0-1,B,M,52,Multiple,N,N,N,0
OBJ_11865612,19124,11/19/21,22-23,W,M,25,Head,N,N,N,1
OBJ_11865613,19124,11/19/21,22-23,W,M,24,Head,N,N,N,0
OBJ_11865614,19148,10/10/21,23-24,W,M,20,Multiple,N,N,N,0
OBJ_11865615,19120,12/4/21,3-Feb,B,M,25,Buttocks,N,N,N,0
OBJ_11865616,19111,12/6/21,3-Feb,W,M,21,Hand,N,N,N,0
OBJ_11865617,19152,12/6/21,4-Mar,B,M,34,Multiple,N,N,N,0
OBJ_11865618,19149,12/31/21,15-16,B,F,19,Leg,N,N,N,0
OBJ_11865619,19148,1/1/21,0-1,W,M,37,Leg,N,N,N,1
OBJ_11865621,19148,2/22/21,9-Aug,B,M,32,Abdomen,N,N,N,0
OBJ_11865622,19148,12/22/21,7-Jun,W,M,30,Multiple,N,N,N,0
OBJ_11865623,19148,4/15/21,18-19,B,M,19,Foot,N,N,N,0
OBJ_11865624,19148,4/15/21,18-19,B,M,17,Leg,N,N,N,0
OBJ_11865625,19147,5/23/21,0-1,B,M,32,Shoulder,N,N,N,0
OBJ_11865626,19147,5/23/21,0-1,B,M,20,Arm,N,N,N,0
OBJ_11865627,19147,5/24/21,23-24,B,M,38,Multiple,N,N,N,1
OBJ_11865628,19147,5/24/21,23-24,B,F,25,Multiple,N,N,N,0
OBJ_11865629,19147,6/2/21,15-16,B,M,24,Leg,N,N,N,0
OBJ_11865632,19123,4/5/21,18-19,B,M,28,Multiple,N,N,N,0
OBJ_11865633,19106,4/5/21,21-22,B,M,25,Multiple,N,N,N,1
OBJ_11865634,19148,6/26/21,20-21,B,M,24,Neck,N,N,N,1
OBJ_11865635,19147,6/27/21,2-Jan,W,M,58,Multiple,N,N,N,0
OBJ_11865636,19148,8/3/21,21-22,A,M,28,Chest,N,N,N,1
OBJ_11865637,19148,8/8/21,22-23,W,F,38,Multiple,N,N,N,0
OBJ_11865638,19148,9/19/21,3-Feb,B,M,33,Multiple,N,N,N,0
OBJ_11865639,19123,6/21/21,4-Mar,B,M,32,Leg,N,N,N,0
OBJ_11865640,19146,9/22/21,15-16,B,M,27,Multiple,N,N,N,0
OBJ_11865641,19147,8/8/21,22-23,B,M,19,Leg,N,N,N,0
OBJ_11865642,19147,8/8/21,18-19,B,M,19,ARM,N,N,N,0
OBJ_11865643,19147,8/8/21,22-23,B,M,19,Buttocks,N,N,N,0
OBJ_11865646,19147,11/1/21,17-18,B,M,42,Multiple,N,N,N,1
OBJ_11865647,19107,10/4/21,2-Jan,B,M,43,Multiple/Head,N,N,N,1
OBJ_11865648,19148,11/4/21,21-22,W,M,31,Multiple,N,N,N,0
OBJ_11865649,19147,11/8/21,23-24,B,M,32,Multiple,N,N,N,0
OBJ_11865650,19147,11/25/21,17-18,B,F,15,Shoulder,N,N,N,0
OBJ_11865651,19107,11/15/21,20-21,B,M,51,Back,N,N,N,0
OBJ_11865652,19148,12/9/21,14-15,A,M,29,Multiple,N,N,N,0
OBJ_11865653,19128,2/23/21,17-18,B,M,29,Leg,N,N,N,0
OBJ_11865654,19127,7/11/21,0-1,B,M,23,Multiple,N,N,N,1
OBJ_11865655,19116,5/20/21,13-Dec,W,M,36,Back,N,N,N,0
